Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Data Replay,RAVEN-X-GF,1,0.8614640883977901,0.7133706965572458,0.7804542326221611,0.8402055656324767,8743,44259
DoS,RAVEN-X-GF,1,0.9161167654624762,0.9997558891736849,0.9561106571728727,0.9997561889848458,8193,44259
Feigned Braking,RAVEN-X-GF,1,0.773053152039555,0.8944508009153318,0.8293329797109137,0.9187277631858485,3496,44259
Position Mirroring,RAVEN-X-GF,1,0.8563093848974829,0.5341027240590559,0.6578728308894154,0.7496661796774371,9618,44259
Random Position Offset,RAVEN-X-GF,1,0.9103053435114504,0.9793478260869565,0.9435652781010007,0.9934040794953989,8280,44259
Random Speed Offset,RAVEN-X-GF,1,0.9136162275588715,0.9336430783893257,0.9235210935658732,0.9763271885775295,8394,44259
Reversed Heading,RAVEN-X-GF,1,0.8984953703703704,0.9389211417513305,0.9182635438845517,0.9799597587668767,8268,44259
Sudden Constant Speed,RAVEN-X-GF,1,0.5506329113924051,0.8860598345003182,0.6791900463527689,0.8454643251778585,1571,44259
Sudden Stop,RAVEN-X-GF,1,0.7524032825322392,0.8144670050761421,0.782205971968312,0.8056146858211691,3940,44259
Time Delay,RAVEN-X-GF,1,0.15184815184815184,0.017511520737327188,0.031401714698894745,0.17970912360804284,8680,44259
Traffic Congestion Sybil,RAVEN-X-GF,1,0.9755095982584603,0.9949287246120853,0.9851234714398132,0.9991071294708996,39635,83894
Zero Speed Report,RAVEN-X-GF,1,0.9082939986513824,0.9609988109393579,0.9339033972729374,0.9912728055469382,8410,44259
Acceleration Multiplication,RandomForest,2,0.6583886255924171,0.8456294131969808,0.7403538691110637,0.8293538167672996,4107,44259
Constant Position Offset,RandomForest,2,0.79585326953748,0.6874856486796785,0.7377109769619318,0.8030969283104772,8710,44259
Constant Speed Offset,RandomForest,2,0.8379491403273963,0.9144943820224719,0.8745500456670069,0.942098702744303,8900,44259
Data Replay,RandomForest,2,0.584572724981094,0.2652407640398033,0.3649095200629426,0.416592155710917,8743,44259
DoS,RandomForest,2,0.8326219512195122,1.0,0.9086674430211279,0.9978805258159487,8193,44259
Feigned Braking,RandomForest,2,0.622706889523033,0.8738558352402745,0.7272078076648417,0.8615144598676489,3496,44259
Position Mirroring,RandomForest,2,0.5773840541948931,0.23040133083801206,0.32936979785969084,0.4044167165197228,9618,44259
Random Position Offset,RandomForest,2,0.8383581177429211,0.9940821256038648,0.9096032710796773,0.9890861491398925,8280,44259
Random Speed Offset,RandomForest,2,0.8350071736011477,0.9706933523945676,0.8977523137946232,0.9720588794228116,8394,44259
Reversed Heading,RandomForest,2,0.8365504358655044,0.9749637155297532,0.9004691689008043,0.9876388363083594,8268,44259
Sudden Constant Speed,RandomForest,2,0.39813140446051837,0.8408656906429026,0.5403968091634281,0.7066972132293344,1571,44259
Sudden Stop,RandomForest,2,0.6574324324324324,0.9878172588832488,0.7894523326572008,0.9242621878552019,3940,44259
Time Delay,RandomForest,2,0.17867867867867868,0.04112903225806452,0.06686645439220829,0.18216583553343352,8680,44259
Traffic Congestion Sybil,RandomForest,2,0.9493099249035925,0.9440645893780749,0.9466799913979583,0.9773463521263603,39635,83894
Zero Speed Report,RandomForest,2,0.8383515054516355,0.996551724137931,0.9106318248492421,0.9904728842649996,8410,44259
Acceleration Multiplication,XGBoost,2,0.6968465854130392,0.8770392013635256,0.7766278568348426,0.9068375779607999,4107,44259
Constant Position Offset,XGBoost,2,0.8191239463866243,0.6805970149253732,0.7434627202608641,0.8051522067706718,8710,44259
Constant Speed Offset,XGBoost,2,0.8616964947580218,0.9142696629213484,0.8872049283105272,0.9638164770011685,8900,44259
Data Replay,XGBoost,2,0.6033267550042289,0.24476724236532083,0.3482506102522376,0.447997780613703,8743,44259
DoS,XGBoost,2,0.8556657963446476,1.0,0.9222197208464655,0.9999953549249037,8193,44259
Feigned Braking,XGBoost,2,0.6819738167170192,0.9685354691075515,0.8003782058858291,0.9614204051935386,3496,44259
Position Mirroring,XGBoost,2,0.6012676462114664,0.21698897899771263,0.318893727557491,0.43973223156742336,9618,44259
Random Position Offset,XGBoost,2,0.8584885911660037,0.9905797101449275,0.9198160816418078,0.9967741359420269,8280,44259
Random Speed Offset,XGBoost,2,0.8516013106436952,0.9598522754348344,0.9024922990758891,0.984848343543491,8394,44259
Reversed Heading,XGBoost,2,0.8570967741935483,0.964078374455733,0.9074453551912568,0.9879306138335169,8268,44259
Sudden Constant Speed,XGBoost,2,0.43236787100627055,0.9217059197963081,0.5886178861788618,0.8765282991184837,1571,44259
Sudden Stop,XGBoost,2,0.6862780593772628,0.9621827411167513,0.8011411665257819,0.907472187275219,3940,44259
