Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Position Mirroring,XGBoost,2,0.682549504950495,0.22936161364108962,0.3433463035019455,0.4648147783129809,9618,44259
Random Position Offset,XGBoost,2,0.8881933952082883,0.9939613526570048,0.9381055511227631,0.9976181638832304,8280,44259
Random Speed Offset,XGBoost,2,0.8847709631573193,0.9641410531331904,0.9227524086426088,0.988240670475665,8394,44259
Reversed Heading,XGBoost,2,0.8861070749972058,0.9588776003870344,0.9210572175428405,0.9883998737728907,8268,44259
Sudden Constant Speed,XGBoost,2,0.4899488926746167,0.9153405474220242,0.638260097647581,0.880582631375105,1571,44259
Sudden Stop,XGBoost,2,0.7424730164741526,0.9951776649746192,0.8504500596464591,0.9115024689105942,3940,44259
Time Delay,XGBoost,2,0.19798136645962733,0.0293778801843318,0.051163723916532906,0.19245801576315952,8680,44259
Traffic Congestion Sybil,XGBoost,2,0.9646600449980793,0.8870442790462975,0.9242254965102983,0.9795820116829825,39635,83894
Zero Speed Report,XGBoost,2,0.8874761602034329,0.9959571938168846,0.9385925593904079,0.9970929365661756,8410,44259
Acceleration Multiplication,GRU,2,0.665761361578852,0.8953007061115169,0.7636552440290758,0.8951921944746035,4107,44259
Constant Position Offset,GRU,2,0.840175417224997,0.7918484500574052,0.8152964123175128,0.8751804717434595,8710,44259
Constant Speed Offset,GRU,2,0.8720942246099803,0.9484269662921349,0.9086603154098714,0.9818433669221183,8900,44259
Data Replay,GRU,2,0.8158255451713395,0.7488276335353997,0.7808921755725191,0.8328199729864302,8743,44259
DoS,GRU,2,0.8627843302443134,1.0,0.9263384023969699,0.9999854623838895,8193,44259
Feigned Braking,GRU,2,0.6785935884177869,0.9385011441647597,0.7876605449525867,0.9412589264919082,3496,44259
Position Mirroring,GRU,2,0.7818943298969072,0.5046787273861509,0.6134209528623784,0.7395010346372682,9618,44259
Random Position Offset,GRU,2,0.8616976792807861,0.9955314009661835,0.9237924464866076,0.9975830111104562,8280,44259
Random Speed Offset,GRU,2,0.8578825021132713,0.9672385036931141,0.9092843543509912,0.9872701446898433,8394,44259
Reversed Heading,GRU,2,0.855648986632169,0.9599661344944364,0.9048107615139079,0.9872938983526309,8268,44259
Sudden Constant Speed,GRU,2,0.45217667619955515,0.9057924888605984,0.6032217041119118,0.8818383967281413,1571,44259
Sudden Stop,GRU,2,0.6936769886890414,0.9494923857868021,0.8016714882674382,0.9216187398956566,3940,44259
Time Delay,GRU,2,0.14803247970018737,0.027304147465437786,0.04610446454625036,0.18329416563858955,8680,44259
Traffic Congestion Sybil,GRU,2,0.954663872685054,0.8505866027500946,0.8996250783866363,0.9654161587751467,39635,83894
Zero Speed Report,GRU,2,0.8644261783373218,0.987871581450654,0.9220354031407803,0.9932271833403387,8410,44259
Acceleration Multiplication,GAT,2,0.8485749690210657,0.8336985634282932,0.8410709899287644,0.9091105279016748,4107,44259
Constant Position Offset,GAT,2,0.9489761664988251,0.6491389207807118,0.7709299154622307,0.7846023114567019,8710,44259
Constant Speed Offset,GAT,2,0.9724507604088756,0.8765168539325843,0.9219950360477485,0.955809800569446,8900,44259
Data Replay,GAT,2,0.7846655791190864,0.16504632277250372,0.2727272727272727,0.41949639855992377,8743,44259
